X,Y,OBJECTID,BUSLIC_LOCATION_ID,DEA_FACILITY_OWNER,DEA_FACILITY_NAME,DEA_BUSINESS_CONTACT,DEA_BUSINESS_PHONE,DEA_FACILITY_ADDRESS,DEA_STALLS,FAC_NAME,HRS_MONFRI,HRS_SAT,HRS_SUN,FAC_TYPE,RTE_1HR,RTE_2HR,RTE_3HR,RTE_ALLDAY,DISABLED,OP_NAME,OP_PHONE,OP_PHONE2,OP_WEB,PAYMENT_TYPE,OTHER,WEBNAME,REGIONID,SIGNID
-122.317438530451,47.6155230269142,13138,670887,,DIAMOND PARKING  A429,JONATHAN DIAMOND,2062843100           ,"1110 E PINE ST, SEATTLE, WA 98122",24,DIAMOND PARKING  A429,,,,,,,,,,,,,,,N,,,
-122.329479828572,47.6224626537504,13139,635166,,DIAMOND PARKING  A275,JONATHAN DIAMOND,2062846303           ,"411 EASTLAKE AVE E, SEATTLE, WA 98109",26,DIAMOND PARKING  A275,,,,,,,,,,,,,,,N,,,
-122.314817282584,47.6154318636416,13140,645761,,DIAMOND PARKING  A875,JONATHAN DIAMOND,2062846303           ,"1320 E PINE ST, SEATTLE, WA 98112",52,DIAMOND PARKING  A875,,,,,,,,,,,,,,,N,,,
-122.318723909913,47.6620731849364,13141,729360,,DIAMOND PARKING SVCS WX41,JONATHAN DIAMOND,2062843100           ,"4525 9TH AVE NE, SEATTLE, WA 98105",22,DIAMOND PARKING SVCS WX41,,,,,,,,,,,,,,,N,,,
-122.371018257715,47.6291373301364,13142,639537,,DIAMOND PARKING  A312,JONATHAN DIAMOND,2062843100           ,"1110 ELLIOTT AVE W, SEATTLE, WA 98119",13,DIAMOND PARKING  A312,,,,,,,,,,,,,,,N,,,
-122.371018257715,47.6291373301364,13143,740687,,DIAMOND PARKING A312,JONATHAN DIAMOND,2062843100           ,"1110 ELLIOTT AVE W, SEATTLE, WA 98119",33,DIAMOND PARKING A312,,,,,,,,,,,,,,,N,,,
-122.34074231661,47.6074551915461,13144,652556,,REPUBLIC 30 179,GARY BECK,2067871246           ,"1403 WESTERN AVE, SEATTLE, WA 98121",50,REPUBLIC 30 179,,,,,,,,,,,,,,,N,,,
-122.328807795767,47.6369311549313,13145,720871,,DIAMOND PARKING  A659,JONATHAN DIAMOND,2062843100           ,"2000 FAIRVIEW AVE E, SEATTLE, WA 98102",25,DIAMOND PARKING  A659,,,,,,,,,,,,,,,N,,,
-122.333385856917,47.6108699044696,13146,540891,,ACE PARKING  3273 SHERATON PRKG GARAGE,KEITH JONES,6192336624           ,"1400 6TH AVE AV, SEATTLE, WA 98101",300,ACE PARKING  3273 SHERATON PRKG GARAGE,,,,,,,,,,,,,,,N,,,
-122.33072045987,47.6045350670155,13147,726758,,ABM PARKING,,2062670725           ,"701 5TH AVE, SEATTLE, WA 98104",703,ABM PARKING,,,,,,,,,,,,,,,N,,,
-122.332824538651,47.5844442756755,13148,717150,,DIAMOND PARKING  A641,JONATHAN DIAMOND,2062843100           ,"1900 OCCIDENTAL AVE S, SEATTLE, WA 98134",95,DIAMOND PARKING  A641,,,,,,,,,,,,,,,N,,,
-122.350623201815,47.6654522522296,13149,556115,,WOODLAND PARK ZOO LOT  1,WOODLAND PARK ZOO SOCIETY,2062332503           ,"600 N 50TH ST, SEATTLE, WA 98103",276,WOODLAND PARK ZOO LOT  1,,,,,,,,,,,,,,,N,,,
-122.350459596885,47.649851144879,13150,637241,,DIAMOND PARKING  WU78,JONATHAN DIAMOND,2062843100           ,"620 N 34TH ST, SEATTLE, WA 98103",95,DIAMOND PARKING  WU78,,,,,,,,,,,,,,,N,,,
-122.328492443448,47.5978272126078,13151,517528,,UNION STATION PARKING GARAGE NORTH,JOAN SUNDBERG,2062540811           ,"550 4TH AVE S, SEATTLE, WA 98104",477,UNION STATION PARKING GARAGE NORTH,,,,,,,,,,,,,,,N,,,
